iso2c,country,value,year
1W,World,38.6,2018
1W,World,39.8,2017
1W,World,41.1,2016
1W,World,42.4,2015
1W,World,43.8,2014
1W,World,45.4,2013
1W,World,47.1,2012
1W,World,49,2011
1W,World,51.3,2010
1W,World,53.2,2009
1W,World,55.6,2008
1W,World,57.9,2007
1W,World,60.4,2006
1W,World,63,2005
1W,World,65.9,2004
1W,World,68.4,2003
1W,World,71.1,2002
1W,World,73.8,2001
1W,World,76.4,2000
1W,World,78.9,1999
1W,World,81.2,1998
1W,World,83.2,1997
1W,World,85.1,1996
1W,World,86.9,1995
1W,World,88.5,1994
1W,World,89.6,1993
1W,World,90.8,1992
1W,World,92,1991
1W,World,93.2,1990
